,2,3,4,5,6,7,8,9,T,A
3,H,H,H,H,H,H,H,H,H,H
4,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H
8,H,H,H,D,D,H,H,H,H,H
9,D,D,D,D,D,H,H,H,H,H
10,D,D,D,D,D,D,D,D,H,H
11,D,D,D,D,D,D,D,D,D,D
12,H,H,S,S,S,H,H,H,H,H
13,S,S,S,S,S,H,H,H,H,H
14,S,S,S,S,S,H,H,H,H,H
15,S,S,S,S,S,H,H,H,H,Rh
16,S,S,S,S,S,H,H,H,Rh,Rh
17,S,S,S,S,S,S,S,S,S,Rs
18,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S
20,S,S,S,S,S,S,S,S,S,S
A2,H,H,D,D,D,H,H,H,H,H
A3,H,H,D,D,D,H,H,H,H,H
A4,H,H,D,D,D,H,H,H,H,H
A5,H,H,D,D,D,H,H,H,H,H
A6,D,D,D,D,D,H,H,H,H,H
A7,S,Ds,Ds,Ds,Ds,S,S,H,H,S
A8,S,S,S,S,Ds,S,S,S,S,S
A9,S,S,S,S,S,S,S,S,S,S
AA,P,P,P,P,P,P,P,P,P,P
22,Ph,P,P,P,P,P,H,H,H,H
33,Ph,Ph,P,P,P,P,Ph,H,H,H
44,H,H,Ph,Pd,Pd,H,H,H,H,H
55,D,D,D,D,D,D,D,D,H,H
66,P,P,P,P,P,Ph,H,H,H,H
77,P,P,P,P,P,P,Ph,H,Rs,Rh
88,P,P,P,P,P,P,P,P,P,P
99,P,P,P,P,P,S,P,P,S,Ps
TT,S,S,S,S,S,S,S,S,S,S